card_id,kiosk_name,churn_proba,predicted_churn,risk_level,cnt_m0,n_cats_m0,activated_m0
CARD-00079,REGION-016,0.4845185075321558,1,MEDIUM,4,2,1
CARD-00080,REGION-038,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00081,REGION-018,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00082,REGION-046,0.0,0,LOW,7,2,1
CARD-00083,REGION-036,0.6580176562386194,1,HIGH,0,0,0
CARD-00084,REGION-024,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00085,REGION-032,0.6580176562386194,1,HIGH,0,0,0
CARD-00086,REGION-074,0.327900395620486,0,MEDIUM,2,1,1
CARD-00087,REGION-059,0.3364805534969446,0,MEDIUM,2,1,1
CARD-00088,REGION-050,0.9279598796474744,1,CRITICAL,0,0,0
CARD-00089,REGION-027,0.6580176562386194,1,HIGH,0,0,0
CARD-00090,REGION-059,0.6580176562386194,1,HIGH,0,0,0
CARD-00091,REGION-030,0.6580176562386194,1,HIGH,0,0,0
CARD-00092,REGION-024,0.20811607345273264,0,LOW,2,1,1
CARD-00093,REGION-009,0.6580176562386194,1,HIGH,0,0,0
CARD-00094,REGION-009,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00095,REGION-015,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00096,REGION-053,0.6580176562386194,1,HIGH,0,0,0
CARD-00097,REGION-059,0.6580176562386194,1,HIGH,0,0,0
CARD-00098,REGION-032,0.0,0,LOW,6,1,1
CARD-00099,REGION-002,0.0,0,LOW,21,4,1
CARD-00100,REGION-046,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00101,REGION-003,0.0,0,LOW,6,1,1
CARD-00102,REGION-019,0.3185024050646761,0,MEDIUM,2,1,1
CARD-00103,REGION-009,0.9279598796474744,1,CRITICAL,0,0,0
CARD-00104,REGION-059,0.9279598796474744,1,CRITICAL,0,0,0
CARD-00105,REGION-062,0.4845185075321558,1,MEDIUM,3,1,1
CARD-00106,REGION-015,0.6580176562386194,1,HIGH,0,0,0
CARD-00107,REGION-006,0.20811607345273264,0,LOW,3,1,1
CARD-00108,REGION-009,0.9279598796474744,1,CRITICAL,0,0,0
CARD-00109,REGION-063,0.49828139689988526,1,MEDIUM,0,0,0
CARD-00110,REGION-068,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00111,REGION-036,0.6580176562386194,1,HIGH,0,0,0
CARD-00112,REGION-051,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00113,REGION-009,0.6580176562386194,1,HIGH,0,0,0
CARD-00114,REGION-042,0.6580176562386194,1,HIGH,0,0,0
CARD-00115,REGION-057,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00116,REGION-055,0.6580176562386194,1,HIGH,0,0,0
CARD-00117,REGION-009,0.5805097899705248,1,HIGH,4,2,1
CARD-00118,REGION-070,0.0,0,LOW,13,1,1
CARD-00119,REGION-046,0.6580176562386194,1,HIGH,0,0,0
CARD-00120,REGION-032,0.4845185075321558,1,MEDIUM,2,1,1
CARD-00121,REGION-002,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00122,REGION-033,0.49828139689988526,1,MEDIUM,0,0,0
CARD-00123,REGION-075,0.9279598796474744,1,CRITICAL,0,0,0
CARD-00124,REGION-032,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00125,REGION-075,0.0,0,LOW,31,3,1
CARD-00126,REGION-069,0.0,0,LOW,23,2,1
CARD-00127,REGION-046,0.6580176562386194,1,HIGH,0,0,0
CARD-00128,REGION-046,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00129,REGION-012,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00130,REGION-002,0.49828139689988526,1,MEDIUM,0,0,0
CARD-00131,REGION-046,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00132,REGION-015,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00133,REGION-046,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00134,REGION-009,0.6580176562386194,1,HIGH,0,0,0
CARD-00135,REGION-063,0.0,0,LOW,8,1,1
CARD-00136,REGION-009,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00137,REGION-017,0.6580176562386194,1,HIGH,0,0,0
CARD-00138,REGION-018,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00139,REGION-071,0.0,0,LOW,48,2,1
CARD-00140,REGION-018,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00141,REGION-069,0.0,0,LOW,8,2,1
CARD-00142,REGION-051,0.4845185075321558,1,MEDIUM,2,1,1
CARD-00143,REGION-061,0.0,0,LOW,8,2,1
CARD-00144,REGION-046,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00145,REGION-012,0.0,0,LOW,5,2,1
CARD-00146,REGION-047,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00147,REGION-059,0.4845185075321558,1,MEDIUM,4,2,1
CARD-00148,REGION-051,0.0,0,LOW,5,2,1
CARD-00149,REGION-013,0.0,0,LOW,10,3,1
CARD-00150,REGION-042,0.0,0,LOW,5,1,1
CARD-00151,REGION-018,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00152,REGION-019,0.20811607345273264,0,LOW,2,1,1
CARD-00153,REGION-024,0.0,0,LOW,6,2,1
CARD-00154,REGION-009,0.327900395620486,0,MEDIUM,2,1,1
CARD-00155,REGION-024,0.0,0,LOW,5,2,1
CARD-00156,REGION-032,0.4845185075321558,1,MEDIUM,4,2,1
CARD-00157,REGION-018,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00158,REGION-064,0.0,0,LOW,38,6,1
CARD-00159,REGION-027,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00160,REGION-032,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00161,REGION-008,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00162,REGION-009,0.5805097899705248,1,HIGH,3,1,1
CARD-00163,REGION-035,0.0,0,LOW,13,3,1
CARD-00164,REGION-065,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00165,REGION-070,0.0,0,LOW,10,3,1
CARD-00166,REGION-068,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00167,REGION-039,0.0,0,LOW,5,2,1
CARD-00168,REGION-017,0.9279598796474744,1,CRITICAL,0,0,0
CARD-00169,REGION-009,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00170,REGION-011,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00171,REGION-016,0.5431389654249147,1,HIGH,0,0,0
CARD-00172,REGION-035,0.0,0,LOW,7,2,1
CARD-00173,REGION-022,0.0,0,LOW,5,1,1
CARD-00174,REGION-046,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00175,REGION-043,0.9279598796474744,1,CRITICAL,0,0,0
CARD-00176,REGION-075,0.4845185075321558,1,MEDIUM,4,2,1
CARD-00177,REGION-070,0.9279598796474744,1,CRITICAL,0,0,0
CARD-00178,REGION-030,0.0,0,LOW,18,1,1
CARD-00179,REGION-027,0.9279598796474744,1,CRITICAL,0,0,0
CARD-00180,REGION-071,0.0,0,LOW,5,1,1
CARD-00181,REGION-053,0.20811607345273264,0,LOW,2,1,1
CARD-00182,REGION-049,0.20811607345273264,0,LOW,2,1,1
CARD-00183,REGION-063,0.0,0,LOW,9,2,1
CARD-00184,REGION-010,0.0,0,LOW,5,2,1
CARD-00185,REGION-046,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00186,REGION-015,0.6580176562386194,1,HIGH,0,0,0
CARD-00187,REGION-034,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00188,REGION-009,0.6580176562386194,1,HIGH,0,0,0
CARD-00189,REGION-067,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00190,REGION-016,0.0,0,LOW,11,3,1
CARD-00191,REGION-057,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00192,REGION-011,0.4845185075321558,1,MEDIUM,4,2,1
CARD-00193,REGION-050,0.0,0,LOW,12,2,1
CARD-00194,REGION-001,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00195,REGION-031,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00196,REGION-009,0.0,0,LOW,5,2,1
CARD-00197,REGION-067,0.9279598796474744,1,CRITICAL,0,0,0
CARD-00198,REGION-006,0.20811607345273264,0,LOW,3,1,1
CARD-00199,REGION-002,0.0,0,LOW,7,2,1
CARD-00200,REGION-009,0.0,0,LOW,19,1,1
CARD-00201,REGION-004,0.6580176562386194,1,HIGH,0,0,0
CARD-00202,REGION-009,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00203,REGION-018,0.0,0,LOW,9,3,1
CARD-00204,REGION-028,0.3185024050646761,0,MEDIUM,4,2,1
CARD-00205,REGION-033,0.0,0,LOW,39,1,1
CARD-00206,REGION-035,0.20811607345273264,0,LOW,2,1,1
CARD-00207,REGION-018,0.0,0,LOW,20,2,1
CARD-00208,REGION-027,0.6580176562386194,1,HIGH,0,0,0
CARD-00209,REGION-004,0.4845185075321558,1,MEDIUM,2,1,1
CARD-00210,REGION-003,0.6580176562386194,1,HIGH,0,0,0
CARD-00211,REGION-068,0.0,0,LOW,5,1,1
CARD-00212,REGION-017,0.9279598796474744,1,CRITICAL,0,0,0
CARD-00213,REGION-009,0.0,0,LOW,6,1,1
CARD-00214,REGION-042,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00215,REGION-004,0.6580176562386194,1,HIGH,0,0,0
CARD-00216,REGION-046,0.4845185075321558,1,MEDIUM,4,2,1
CARD-00217,REGION-063,0.0,0,LOW,5,1,1
CARD-00218,REGION-063,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00219,REGION-046,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00220,REGION-032,0.0,0,LOW,64,4,1
CARD-00221,REGION-003,0.3239750095256527,0,MEDIUM,0,0,0
CARD-00222,REGION-058,0.6580176562386194,1,HIGH,0,0,0
CARD-00223,REGION-062,0.0,0,LOW,29,1,1
CARD-00224,REGION-057,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00225,REGION-038,0.0,0,LOW,14,2,1
CARD-00226,REGION-002,0.5537076870825302,1,HIGH,0,0,0
CARD-00227,REGION-009,0.0,0,LOW,20,2,1
CARD-00228,REGION-009,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00229,REGION-059,0.6580176562386194,1,HIGH,0,0,0
CARD-00230,REGION-019,0.4845185075321558,1,MEDIUM,2,1,1
CARD-00231,REGION-025,0.6580176562386194,1,HIGH,0,0,0
CARD-00232,REGION-036,0.6580176562386194,1,HIGH,0,0,0
CARD-00233,REGION-036,0.0,0,LOW,7,2,1
CARD-00234,REGION-050,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00235,REGION-004,0.3364805534969446,0,MEDIUM,2,1,1
CARD-00236,REGION-046,0.6580176562386194,1,HIGH,0,0,0
CARD-00237,REGION-023,0.0,0,LOW,8,2,1
CARD-00238,REGION-041,0.6580176562386194,1,HIGH,0,0,0
CARD-00239,REGION-024,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00240,REGION-046,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00241,REGION-035,0.0,0,LOW,6,1,1
CARD-00242,REGION-006,0.49828139689988526,1,MEDIUM,0,0,0
CARD-00243,REGION-016,0.0,0,LOW,10,2,1
CARD-00244,REGION-046,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00245,REGION-004,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00246,REGION-008,0.0,0,LOW,11,1,1
CARD-00247,REGION-009,0.5805097899705248,1,HIGH,4,2,1
CARD-00248,REGION-019,0.6580176562386194,1,HIGH,0,0,0
CARD-00249,REGION-027,0.3364805534969446,0,MEDIUM,4,2,1
CARD-00250,REGION-007,0.9279598796474744,1,CRITICAL,0,0,0
CARD-00251,REGION-016,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00252,REGION-003,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00253,REGION-022,0.6580176562386194,1,HIGH,0,0,0
CARD-00254,REGION-063,0.6580176562386194,1,HIGH,0,0,0
CARD-00255,REGION-037,0.9279598796474744,1,CRITICAL,0,0,0
CARD-00256,REGION-039,0.4845185075321558,1,MEDIUM,3,1,1
CARD-00257,REGION-046,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00258,REGION-073,0.0,0,LOW,7,3,1
CARD-00259,REGION-046,0.9279598796474744,1,CRITICAL,0,0,0
CARD-00260,REGION-038,0.0,0,LOW,6,1,1
CARD-00261,REGION-045,0.0,0,LOW,7,2,1
CARD-00262,REGION-064,0.3364805534969446,0,MEDIUM,2,1,1
CARD-00263,REGION-071,0.0,0,LOW,73,4,1
CARD-00264,REGION-004,0.0,0,LOW,6,2,1
CARD-00265,REGION-034,0.3364805534969446,0,MEDIUM,4,2,1
CARD-00266,REGION-075,0.6580176562386194,1,HIGH,0,0,0
CARD-00267,REGION-009,0.6580176562386194,1,HIGH,0,0,0
CARD-00268,REGION-047,0.20811607345273264,0,LOW,2,1,1
CARD-00269,REGION-069,0.0,0,LOW,37,2,1
CARD-00270,REGION-055,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00271,REGION-029,0.0,0,LOW,16,2,1
CARD-00272,REGION-009,0.6580176562386194,1,HIGH,0,0,0
CARD-00273,REGION-046,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00274,REGION-032,0.5431389654249147,1,HIGH,0,0,0
CARD-00275,REGION-015,0.9279598796474744,1,CRITICAL,0,0,0
CARD-00276,REGION-035,0.0,0,LOW,40,4,1
CARD-00277,REGION-057,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00278,REGION-053,0.4845185075321558,1,MEDIUM,4,2,1
CARD-00279,REGION-026,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00280,REGION-018,0.6580176562386194,1,HIGH,0,0,0
CARD-00281,REGION-057,0.5431389654249147,1,HIGH,0,0,0
CARD-00282,REGION-004,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00283,REGION-047,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00284,REGION-006,0.6580176562386194,1,HIGH,0,0,0
CARD-00285,REGION-018,0.6580176562386194,1,HIGH,0,0,0
CARD-00286,REGION-009,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00287,REGION-067,0.6580176562386194,1,HIGH,0,0,0
CARD-00288,REGION-068,0.0,0,LOW,8,2,1
CARD-00289,REGION-035,0.0,0,LOW,6,2,1
CARD-00290,REGION-058,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00291,REGION-046,0.9279598796474744,1,CRITICAL,0,0,0
CARD-00292,REGION-057,0.3364805534969446,0,MEDIUM,2,1,1
CARD-00293,REGION-063,0.0,0,LOW,7,2,1
CARD-00294,REGION-017,0.6580176562386194,1,HIGH,0,0,0
CARD-00295,REGION-024,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00296,REGION-009,0.0,0,LOW,5,1,1
CARD-00297,REGION-046,0.9279598796474744,1,CRITICAL,0,0,0
CARD-00298,REGION-046,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00299,REGION-019,0.3364805534969446,0,MEDIUM,2,1,1
CARD-00300,REGION-050,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00301,REGION-016,0.6580176562386194,1,HIGH,0,0,0
CARD-00302,REGION-003,0.9279598796474744,1,CRITICAL,0,0,0
CARD-00303,REGION-018,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00304,REGION-046,0.0,0,LOW,13,1,1
CARD-00305,REGION-037,0.9279598796474744,1,CRITICAL,0,0,0
CARD-00306,REGION-031,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00307,REGION-015,0.4845185075321558,1,MEDIUM,2,1,1
CARD-00308,REGION-057,0.0,0,LOW,15,2,1
CARD-00309,REGION-007,0.0,0,LOW,11,3,1
CARD-00310,REGION-039,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00311,REGION-075,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00312,REGION-042,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00313,REGION-057,0.327900395620486,0,MEDIUM,4,2,1
CARD-00314,REGION-027,0.0,0,LOW,7,2,1
CARD-00315,REGION-018,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00316,REGION-059,0.9279598796474744,1,CRITICAL,0,0,0
CARD-00317,REGION-008,0.0,0,LOW,73,5,1
CARD-00318,REGION-018,0.6580176562386194,1,HIGH,0,0,0
CARD-00319,REGION-019,0.0,0,LOW,60,4,1
CARD-00320,REGION-010,0.0,0,LOW,20,2,1
CARD-00321,REGION-070,0.0,0,LOW,5,2,1
CARD-00322,REGION-009,0.5805097899705248,1,HIGH,2,1,1
CARD-00323,REGION-033,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00324,REGION-046,0.6580176562386194,1,HIGH,0,0,0
CARD-00325,REGION-038,0.0,0,LOW,17,3,1
CARD-00326,REGION-046,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00327,REGION-024,0.20811607345273264,0,LOW,2,1,1
CARD-00328,REGION-019,0.6580176562386194,1,HIGH,0,0,0
CARD-00329,REGION-009,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00330,REGION-046,0.0,0,LOW,15,2,1
CARD-00331,REGION-003,0.20811607345273264,0,LOW,2,1,1
CARD-00332,REGION-065,0.0,0,LOW,11,1,1
CARD-00333,REGION-046,0.0,0,LOW,6,1,1
CARD-00334,REGION-036,0.0,0,LOW,7,2,1
CARD-00335,REGION-073,0.0,0,LOW,18,4,1
CARD-00336,REGION-006,0.0,0,LOW,6,1,1
CARD-00337,REGION-024,0.0,0,LOW,28,3,1
CARD-00338,REGION-009,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00339,REGION-038,0.5431389654249147,1,HIGH,0,0,0
CARD-00340,REGION-027,0.0,0,LOW,15,2,1
CARD-00341,REGION-011,0.6580176562386194,1,HIGH,0,0,0
CARD-00342,REGION-016,0.5431389654249147,1,HIGH,0,0,0
CARD-00343,REGION-064,0.0,0,LOW,11,3,1
CARD-00344,REGION-059,0.0,0,LOW,5,1,1
CARD-00345,REGION-074,0.0,0,LOW,10,1,1
CARD-00346,REGION-036,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00347,REGION-042,0.6580176562386194,1,HIGH,0,0,0
CARD-00348,REGION-040,0.6580176562386194,1,HIGH,0,0,0
CARD-00349,REGION-018,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00350,REGION-032,0.6580176562386194,1,HIGH,0,0,0
CARD-00351,REGION-075,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00352,REGION-046,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00353,REGION-059,0.9279598796474744,1,CRITICAL,0,0,0
CARD-00354,REGION-005,0.6580176562386194,1,HIGH,0,0,0
CARD-00355,REGION-064,0.46896219892366514,1,MEDIUM,3,1,1
CARD-00356,REGION-009,0.46896219892366514,1,MEDIUM,4,2,1
CARD-00357,REGION-009,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00358,REGION-058,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00359,REGION-036,0.0,0,LOW,22,2,1
CARD-00360,REGION-019,0.6580176562386194,1,HIGH,0,0,0
CARD-00361,REGION-046,0.6580176562386194,1,HIGH,0,0,0
CARD-00362,REGION-023,0.20811607345273264,0,LOW,3,1,1
CARD-00363,REGION-016,0.0,0,LOW,12,2,1
CARD-00364,REGION-058,0.3185024050646761,0,MEDIUM,2,1,1
CARD-00365,REGION-053,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00366,REGION-015,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00367,REGION-004,0.6580176562386194,1,HIGH,0,0,0
CARD-00368,REGION-015,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00369,REGION-004,0.0,0,LOW,13,3,1
CARD-00370,REGION-057,0.0,0,LOW,16,2,1
CARD-00371,REGION-018,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00372,REGION-009,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00373,REGION-059,0.0,0,LOW,21,2,1
CARD-00374,REGION-041,0.0,0,LOW,11,1,1
CARD-00375,REGION-066,0.0,0,LOW,6,1,1
CARD-00376,REGION-063,0.3364805534969446,0,MEDIUM,2,1,1
CARD-00377,REGION-064,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00378,REGION-024,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00379,REGION-033,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00380,REGION-062,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00381,REGION-026,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00382,REGION-048,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00383,REGION-063,0.5431389654249147,1,HIGH,0,0,0
CARD-00384,REGION-010,0.0,0,LOW,10,1,1
CARD-00385,REGION-015,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00386,REGION-046,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00387,REGION-018,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00388,REGION-057,0.5537076870825302,1,HIGH,0,0,0
CARD-00389,REGION-046,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00390,REGION-050,0.0,0,LOW,10,2,1
CARD-00391,REGION-030,0.5431389654249147,1,HIGH,0,0,0
CARD-00392,REGION-048,0.4845185075321558,1,MEDIUM,2,1,1
CARD-00393,REGION-059,0.6580176562386194,1,HIGH,0,0,0
CARD-00394,REGION-003,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00395,REGION-023,0.5431389654249147,1,HIGH,0,0,0
CARD-00396,REGION-022,0.8203187978014564,1,CRITICAL,0,0,0
CARD-00397,REGION-040,0.0,0,LOW,10,3,1
CARD-00398,REGION-052,0.0,0,LOW,10,3,1
CARD-00399,REGION-068,0.5431389654249147,1,HIGH,0,0,0
CARD-00400,REGION-003,0.6580176562386194,1,HIGH,0,0,0
CARD-00401,REGION-032,0.0,0,LOW,16,3,1
CARD-00402,REGION-057,0.0,0,LOW,13,1,1
CARD-00403,REGION-009,0.5805097899705248,1,HIGH,2,1,1
CARD-00404,REGION-042,0.0,0,LOW,13,2,1
CARD-00405,REGION-017,0.0,0,LOW,11,2,1
CARD-00406,REGION-060,0.3364805534969446,0,MEDIUM,2,1,1
